trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",25,14,11.128992307200594,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,3,19.844593234507542,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",25,18,10.243723199574804,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,13,13.085539075440668,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",20,13,11.122753180963498,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,0,-9.172141844581889,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,10,27.014987776950505,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,13,1.0642677288577829,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,7,4.048979016284752,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,6,-1.5364055652560806,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",20,5,26.364163790554482,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",30,18,-3.1228934644024164,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",25,14,18.434987554047048,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,0,19.246471505430577,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",25,0,-96.92211606972312,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",20,9,7.461657040753677,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",20,12,3.1799444741610667,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",30,7,5.1512127906026635,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2043434617462395}",20,6,12.998932556944688,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",30,23,-7.68778861602222,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2002770268574893}",20,12,16.123954538837673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",20,3,31.411434790239017,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",35,14,25.275631587275832,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,6,-15.721674772960798,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",25,13,26.337218193532344,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",25,14,22.188176532040305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",20,0,24.610042507770036,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,7,31.67743510908783,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",35,7,35.31180064677445,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",25,16,17.623613770840365,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",25,9,27.12924126334006,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,13,12.312000393641682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",25,6,4.057453624901281,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,16,6.815406165112171,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.173989828476264}",25,12,5.0643752600750345,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,0,-23.182428446983916,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",25,12,9.819880387149944,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,8,5.7151200107159825,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,0,5.863068806479748,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",25,0,26.153480911081303,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,13,2.229916144960179,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",30,0,19.687590029976143,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",30,0,-23.308104838235295,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",25,7,34.362944489845226,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
